Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12735,1000,616,33,11055
Dong bang song Hong,2778,214,90,8,2455
Ha Noi,675,41,51,..,577
Ha Tay,..,..,..,..,..
Vinh Phuc,163,15,8,1,139
Bac Ninh,140,12,..,1,126
Quang Ninh,217,19,10,1,186
Hai Duong,292,20,5,1,265
Hai Phuong,251,24,2,1,224
Hung Yen,179,17,..,..,162
Thai Binh,310,22,..,1,286
Ha Nam,131,12,2,..,116
Nam Dinh,248,18,..,1,229
Ninh Binh,172,14,12,1,145
Trung du va mien nui phia Bac,2955,195,218,8,2531
Ha Giang,211,14,19,1,177
Cao Bang,236,17,20,..,199
Bac Kan,133,9,2,..,122
Tuyen Quang,168,14,12,1,141
Lao Cai,213,12,36,1,164
Yen Bai,213,14,19,..,180
Thai Nguyen,210,14,13,1,181
Lang Son,266,14,25,1,226
Bac Giang,250,16,3,1,230
Phu Tho,294,16,..,1,277
Dien Bien,144,14,17,..,112
Lai Chau,134,11,15,..,108
Son La,238,16,16,1,204
Hoa Binh,245,14,21,..,210
Bac Trung Bo va Duyen hai mien Trung,3277,237,118,10,2906
Thanh Hoa,687,36,12,1,637
Nghe An,532,29,22,1,480
Ha Tinh,286,17,6,1,262
Quang Binh,173,8,6,..,159
Quang Tri,159,10,7,1,141
Thua Thien Hue,178,16,8,1,152
Da Nang,72,14,..,1,56
Quang Nam,282,26,11,..,244
Quang Ngai,202,17,3,..,182
Binh Dinh,183,18,5,1,159
Phu Yen,126,13,7,1,105
Khanh Hoa,166,13,14,1,137
Ninh Thuan,81,7,7,1,65
Binh Thuan,150,13,10,..,127
Tay Nguyen,846,74,52,2,714
Kon Tum,123,11,14,1,97
Gia Lai,249,21,14,..,214
Dak Lak,206,20,1,..,184
Dak Nong,80,8,..,..,71
Lam Dong,188,14,23,1,148
Dong Nam Bo,1033,113,41,3,872
Binh Phuoc,128,12,4,..,111
Tay Ninh,110,12,2,1,95
Binh Duong,119,9,17,1,91
Dong Nai,197,16,9,..,171
Ba Ria - Vung Tau,100,12,6,..,82
Ho Chi Minh,379,52,3,1,322
Dong bang song Cuu Long,1846,167,97,2,1577
Long An,217,21,4,..,192
Tien Giang,192,11,12,..,169
Ben Tre,185,12,9,..,164
Tra Vinh,120,12,15,..,93
Vinh Long,121,10,2,..,109
Dong Thap,170,16,9,1,144
An Giang,182,15,11,..,156
Kien Giang,158,13,14,..,131
Can Tho,103,17,..,..,85
Hau Giang,85,9,8,..,67
Soc Trang,122,11,2,..,109
Bac Lieu,74,7,2,..,64
Ca Mau,117,13,9,1,94
