Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12679,971,600,31,11047
Dong bang song Hong,2752,212,68,7,2454
Ha Noi,650,40,29,..,575
Ha Tay,..,..,..,..,..
Vinh Phuc,162,14,8,1,139
Bac Ninh,139,11,..,1,126
Quang Ninh,216,19,10,..,186
Hai Duong,293,21,5,1,265
Hai Phuong,251,24,2,1,224
Hung Yen,179,17,..,..,162
Thai Binh,310,22,..,1,286
Ha Nam,131,12,2,..,116
Nam Dinh,248,18,..,1,229
Ninh Binh,173,14,12,1,146
Trung du va mien nui phia Bac,2944,193,221,7,2517
Ha Giang,211,15,20,..,176
Cao Bang,235,16,20,..,199
Bac Kan,133,9,2,..,122
Tuyen Quang,167,12,13,1,141
Lao Cai,214,13,36,1,164
Yen Bai,214,14,19,..,180
Thai Nguyen,213,15,13,1,181
Lang Son,264,14,24,1,225
Bac Giang,250,16,3,1,230
Phu Tho,295,17,..,1,277
Dien Bien,143,12,18,..,112
Lai Chau,122,10,14,..,98
Son La,240,16,18,1,204
Hoa Binh,243,14,21,..,208
Bac Trung Bo va Duyen hai mien Trung,3286,225,132,11,2912
Thanh Hoa,687,36,12,1,637
Nghe An,529,26,22,1,479
Ha Tinh,292,17,12,1,262
Quang Binh,174,8,6,1,159
Quang Tri,157,10,5,1,141
Thua Thien Hue,180,13,13,1,152
Da Nang,69,12,..,1,56
Quang Nam,277,24,9,..,244
Quang Ngai,208,18,8,..,182
Binh Dinh,183,17,6,1,159
Phu Yen,130,12,7,1,109
Khanh Hoa,170,13,15,1,140
Ninh Thuan,80,6,7,1,65
Binh Thuan,150,13,10,..,127
Tay Nguyen,848,71,49,2,722
Kon Tum,121,9,13,1,97
Gia Lai,256,20,14,..,222
Dak Lak,205,20,..,..,184
Dak Nong,79,8,..,..,71
Lam Dong,187,14,22,1,148
Dong Nam Bo,1025,113,36,2,872
Binh Phuoc,125,12,2,..,111
Tay Ninh,110,12,2,1,95
Binh Duong,112,10,10,..,91
Dong Nai,201,17,13,..,171
Ba Ria - Vung Tau,98,10,6,..,82
Ho Chi Minh,379,52,3,1,322
Dong bang song Cuu Long,1824,157,94,2,1570
Long An,211,16,5,..,190
Tien Giang,193,11,13,..,169
Ben Tre,184,12,8,..,164
Tra Vinh,115,9,15,..,91
Vinh Long,117,9,6,..,102
Dong Thap,161,16,..,1,144
An Giang,182,15,11,..,156
Kien Giang,158,13,16,..,129
Can Tho,102,17,..,..,85
Hau Giang,89,8,8,..,73
Soc Trang,124,12,3,..,109
Bac Lieu,74,7,2,..,64
Ca Mau,114,12,7,1,94
