Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12791,1002,613,34,11113
Dong bang song Hong,2784,209,94,9,2462
Ha Noi,686,40,55,1,584
Ha Tay,..,..,..,..,..
Vinh Phuc,162,14,8,1,139
Bac Ninh,141,13,..,1,126
Quang Ninh,216,19,10,1,186
Hai Duong,292,20,5,1,265
Hai Phuong,251,24,2,1,224
Hung Yen,179,17,..,..,162
Thai Binh,307,19,..,1,286
Ha Nam,130,11,2,..,116
Nam Dinh,249,19,..,1,229
Ninh Binh,171,13,12,1,145
Trung du va mien nui phia Bac,2968,201,209,8,2548
Ha Giang,212,15,19,1,177
Cao Bang,233,17,17,..,199
Bac Kan,132,9,1,..,122
Tuyen Quang,167,14,11,1,141
Lao Cai,213,12,36,1,164
Yen Bai,214,15,19,..,180
Thai Nguyen,211,18,11,1,180
Lang Son,266,14,25,1,226
Bac Giang,250,16,3,1,230
Phu Tho,294,16,..,1,277
Dien Bien,161,14,17,..,130
Lai Chau,134,11,15,..,108
Son La,236,16,14,1,204
Hoa Binh,245,14,21,..,210
Bac Trung Bo va Duyen hai mien Trung,3281,240,110,10,2914
Thanh Hoa,687,37,12,1,637
Nghe An,531,28,22,1,480
Ha Tinh,286,18,5,1,262
Quang Binh,174,8,7,..,159
Quang Tri,160,11,7,1,141
Thua Thien Hue,179,17,8,1,152
Da Nang,71,13,..,1,56
Quang Nam,281,26,10,..,244
Quang Ngai,205,19,3,..,183
Binh Dinh,182,17,5,1,159
Phu Yen,126,13,..,1,112
Khanh Hoa,166,12,14,1,137
Ninh Thuan,82,8,7,1,65
Binh Thuan,151,13,10,..,127
Tay Nguyen,860,77,51,2,726
Kon Tum,129,12,14,1,102
Gia Lai,258,22,14,..,222
Dak Lak,206,21,..,..,184
Dak Nong,80,8,..,..,71
Lam Dong,187,14,23,1,147
Dong Nam Bo,1031,112,40,3,872
Binh Phuoc,128,12,4,..,111
Tay Ninh,110,12,2,1,95
Binh Duong,118,8,17,1,91
Dong Nai,196,16,8,..,171
Ba Ria - Vung Tau,100,12,6,..,82
Ho Chi Minh,379,52,3,1,322
Dong bang song Cuu Long,1867,163,109,2,1591
Long An,214,18,4,..,192
Tien Giang,207,11,23,..,173
Ben Tre,185,12,9,..,164
Tra Vinh,121,12,15,..,94
Vinh Long,121,10,2,..,109
Dong Thap,170,16,9,1,144
An Giang,183,15,12,..,156
Kien Giang,158,13,14,..,131
Can Tho,102,16,..,..,85
Hau Giang,91,8,7,..,76
Soc Trang,122,11,2,..,109
Bac Lieu,74,7,2,..,64
Ca Mau,119,14,10,1,94
