Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12667,966,609,33,11028
Dong bang song Hong,2750,210,68,8,2453
Ha Noi,650,40,29,..,575
Ha Tay,..,..,..,..,..
Vinh Phuc,161,14,8,1,138
Bac Ninh,139,11,..,1,126
Quang Ninh,217,19,10,1,186
Hai Duong,293,21,5,1,265
Hai Phuong,251,24,2,1,224
Hung Yen,178,16,..,..,162
Thai Binh,309,21,..,1,286
Ha Nam,131,12,2,..,116
Nam Dinh,248,18,..,1,229
Ninh Binh,173,14,12,1,146
Trung du va mien nui phia Bac,2941,192,220,7,2516
Ha Giang,210,15,20,..,175
Cao Bang,235,16,20,..,199
Bac Kan,133,9,2,..,122
Tuyen Quang,167,12,13,1,141
Lao Cai,214,13,36,1,164
Yen Bai,214,14,19,..,180
Thai Nguyen,212,15,13,1,180
Lang Son,262,14,21,1,226
Bac Giang,251,16,4,1,230
Phu Tho,293,17,..,1,275
Dien Bien,143,12,18,..,112
Lai Chau,122,10,14,..,98
Son La,241,15,18,1,206
Hoa Binh,244,14,22,..,208
Bac Trung Bo va Duyen hai mien Trung,3290,224,141,11,2908
Thanh Hoa,688,36,13,1,637
Nghe An,527,25,22,1,479
Ha Tinh,293,17,13,1,262
Quang Binh,173,8,5,1,159
Quang Tri,159,11,6,1,141
Thua Thien Hue,181,13,14,1,152
Da Nang,69,12,..,1,56
Quang Nam,274,24,9,..,241
Quang Ngai,207,18,8,..,181
Binh Dinh,183,17,6,1,159
Phu Yen,135,11,13,1,109
Khanh Hoa,169,12,15,1,140
Ninh Thuan,82,7,7,1,65
Binh Thuan,150,13,10,..,127
Tay Nguyen,844,72,45,2,721
Kon Tum,120,9,12,1,97
Gia Lai,252,20,10,..,222
Dak Lak,207,21,1,..,184
Dak Nong,78,8,..,..,70
Lam Dong,187,14,22,1,148
Dong Nam Bo,1031,114,43,3,868
Binh Phuoc,128,9,8,..,110
Tay Ninh,109,12,4,1,92
Binh Duong,112,10,9,1,91
Dong Nai,201,17,13,..,171
Ba Ria - Vung Tau,98,10,6,..,82
Ho Chi Minh,383,56,3,1,322
Dong bang song Cuu Long,1811,154,92,2,1562
Long An,211,16,5,..,190
Tien Giang,191,11,11,..,169
Ben Tre,183,11,8,..,164
Tra Vinh,113,9,15,..,89
Vinh Long,117,9,6,..,102
Dong Thap,162,15,..,1,146
An Giang,182,15,11,..,156
Kien Giang,156,13,15,..,128
Can Tho,99,17,1,..,81
Hau Giang,86,8,8,..,70
Soc Trang,123,11,3,..,109
Bac Lieu,74,7,2,..,64
Ca Mau,114,12,7,1,94
