Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12769,1015,33,572,11120
Dong bang song Hong,2801,211,9,95,2476
Ha Noi,677,39,1,55,577
Ha Tay,..,..,..,..,..
Vinh Phuc,162,14,1,8,139
Bac Ninh,158,13,1,..,143
Quang Ninh,219,21,1,10,186
Hai Duong,292,20,1,5,265
Hai Phuong,251,24,1,2,224
Hung Yen,179,17,..,..,162
Thai Binh,307,19,1,..,286
Ha Nam,128,11,..,..,116
Nam Dinh,258,20,1,4,233
Ninh Binh,170,13,1,11,145
Trung du va mien nui phia Bac,2963,197,8,197,2558
Ha Giang,212,15,1,19,177
Cao Bang,230,16,..,15,199
Bac Kan,133,9,..,2,122
Tuyen Quang,178,13,2,11,152
Lao Cai,213,12,1,36,164
Yen Bai,214,15,..,19,180
Thai Nguyen,200,17,1,..,181
Lang Son,265,13,1,25,226
Bac Giang,249,15,1,3,230
Phu Tho,294,17,..,..,277
Dien Bien,162,14,..,17,130
Lai Chau,134,11,..,15,108
Son La,234,16,1,12,204
Hoa Binh,245,14,..,23,208
Bac Trung Bo va Duyen hai mien Trung,3244,242,9,85,2900
Thanh Hoa,684,35,1,12,635
Nghe An,514,30,1,1,482
Ha Tinh,282,18,1,1,262
Quang Binh,174,8,..,7,159
Quang Tri,156,12,1,5,138
Thua Thien Hue,177,17,1,6,152
Da Nang,72,14,1,..,56
Quang Nam,284,26,..,13,244
Quang Ngai,205,19,..,4,182
Binh Dinh,183,18,1,5,159
Phu Yen,127,13,1,..,112
Khanh Hoa,164,12,..,14,137
Ninh Thuan,81,7,1,7,65
Binh Thuan,141,13,..,10,117
Tay Nguyen,859,80,2,50,726
Kon Tum,127,10,1,14,102
Gia Lai,259,23,..,14,222
Dak Lak,204,20,..,..,184
Dak Nong,80,9,..,..,71
Lam Dong,189,18,1,22,147
Dong Nam Bo,1036,116,3,41,871
Binh Phuoc,130,13,..,4,113
Tay Ninh,110,12,1,2,95
Binh Duong,123,11,1,18,91
Dong Nai,196,16,..,8,171
Ba Ria - Vung Tau,100,12,..,6,82
Ho Chi Minh,377,52,1,3,319
Dong bang song Cuu Long,1866,169,2,104,1589
Long An,214,18,..,4,192
Tien Giang,207,11,..,23,173
Ben Tre,185,12,..,9,164
Tra Vinh,121,12,..,15,94
Vinh Long,124,13,..,2,109
Dong Thap,170,15,1,10,144
An Giang,183,16,..,11,156
Kien Giang,156,13,..,14,129
Can Tho,103,17,..,..,85
Hau Giang,87,11,..,7,69
Soc Trang,122,13,..,..,109
Bac Lieu,74,7,..,2,64
Ca Mau,120,11,1,7,101
