Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12626,902,803,31,10851
Dong bang song Hong,2758,184,117,8,2439
Ha Noi,281,19,26,..,232
Ha Tay,356,16,17,..,322
Vinh Phuc,177,9,13,1,154
Bac Ninh,146,11,7,1,126
Quang Ninh,215,19,8,1,186
Hai Duong,287,17,5,1,263
Hai Phuong,259,22,16,1,220
Hung Yen,177,16,..,..,161
Thai Binh,303,16,..,1,285
Ha Nam,138,12,9,..,116
Nam Dinh,251,17,4,1,229
Ninh Binh,168,10,12,1,145
Trung du va mien nui phia Bac,2945,179,258,6,2496
Ha Giang,209,13,21,..,175
Cao Bang,233,16,23,..,194
Bac Kan,140,7,11,..,122
Tuyen Quang,166,12,13,1,140
Lao Cai,212,12,36,..,164
Yen Bai,211,12,20,..,178
Thai Nguyen,212,15,13,1,180
Lang Son,265,14,24,1,226
Bac Giang,268,15,24,1,228
Phu Tho,296,17,4,1,274
Dien Bien,136,10,19,..,106
Lai Chau,108,7,7,..,94
Son La,237,15,19,1,201
Hoa Binh,252,14,24,..,214
Bac Trung Bo va Duyen hai mien Trung,3284,210,186,10,2870
Thanh Hoa,694,35,23,1,634
Nghe An,544,24,43,1,476
Ha Tinh,300,17,20,1,262
Quang Binh,173,8,6,..,159
Quang Tri,158,10,8,1,139
Thua Thien Hue,178,12,14,1,150
Da Nang,69,12,..,1,56
Quang Nam,272,22,13,..,236
Quang Ngai,202,16,8,..,178
Binh Dinh,182,16,6,1,159
Phu Yen,132,11,13,1,106
Khanh Hoa,166,10,17,1,137
Ninh Thuan,74,4,5,1,62
Binh Thuan,140,13,10,..,116
Tay Nguyen,809,64,48,3,689
Kon Tum,116,9,9,1,96
Gia Lai,243,17,16,1,209
Dak Lak,195,17,1,..,175
Dak Nong,71,7,..,..,64
Lam Dong,184,14,22,1,145
Dong Nam Bo,1034,110,65,2,849
Binh Phuoc,114,9,5,..,99
Tay Ninh,108,12,4,..,92
Binh Duong,107,8,8,1,89
Dong Nai,201,17,13,..,171
Ba Ria - Vung Tau,92,10,6,..,76
Ho Chi Minh,412,54,29,1,322
Dong bang song Cuu Long,1796,155,129,2,1508
Long An,212,16,6,..,190
Tien Giang,201,16,16,..,169
Ben Tre,178,10,8,..,160
Tra Vinh,111,9,14,..,88
Vinh Long,116,9,6,..,101
Dong Thap,168,12,13,1,142
An Giang,180,15,11,..,154
Kien Giang,154,15,16,..,123
Can Tho,83,15,8,..,60
Hau Giang,77,8,8,..,61
Soc Trang,128,11,12,..,105
Bac Lieu,71,7,2,..,61
Ca Mau,117,12,9,1,94
