Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12779,1012,35,602,11102
Dong bang song Hong,2784,210,9,93,2462
Ha Noi,686,40,1,55,584
Ha Tay,..,..,..,..,..
Vinh Phuc,162,14,1,8,139
Bac Ninh,141,13,1,..,126
Quang Ninh,216,19,1,10,186
Hai Duong,292,20,1,5,265
Hai Phuong,251,24,1,2,224
Hung Yen,179,17,..,..,162
Thai Binh,308,20,1,..,286
Ha Nam,129,11,..,1,116
Nam Dinh,249,19,1,..,229
Ninh Binh,171,13,1,12,145
Trung du va mien nui phia Bac,2965,199,8,208,2549
Ha Giang,212,15,1,19,177
Cao Bang,231,16,..,16,199
Bac Kan,132,9,..,1,122
Tuyen Quang,167,14,1,11,141
Lao Cai,213,12,1,36,164
Yen Bai,214,15,..,19,180
Thai Nguyen,213,19,2,11,181
Lang Son,265,13,1,25,226
Bac Giang,250,16,1,3,230
Phu Tho,287,16,..,..,277
Dien Bien,161,14,..,17,130
Lai Chau,133,10,..,15,108
Son La,236,16,1,14,204
Hoa Binh,245,14,..,21,210
Bac Trung Bo va Duyen hai mien Trung,3257,239,10,95,2905
Thanh Hoa,684,35,1,12,635
Nghe An,518,28,1,9,480
Ha Tinh,282,18,1,1,262
Quang Binh,174,8,..,7,159
Quang Tri,159,11,1,6,141
Thua Thien Hue,179,17,1,8,152
Da Nang,72,14,1,..,56
Quang Nam,283,26,..,12,244
Quang Ngai,206,19,..,4,183
Binh Dinh,182,17,1,5,159
Phu Yen,126,13,1,..,112
Khanh Hoa,169,12,1,14,140
Ninh Thuan,82,8,1,7,65
Binh Thuan,141,13,..,10,117
Tay Nguyen,861,78,2,51,726
Kon Tum,129,12,1,14,102
Gia Lai,258,22,..,14,222
Dak Lak,206,21,..,..,184
Dak Nong,80,8,..,..,71
Lam Dong,188,15,1,23,147
Dong Nam Bo,1032,117,3,41,869
Binh Phuoc,128,13,..,4,111
Tay Ninh,110,12,1,2,95
Binh Duong,121,11,1,18,91
Dong Nai,196,16,..,8,171
Ba Ria - Vung Tau,100,12,..,6,82
Ho Chi Minh,377,53,1,3,319
Dong bang song Cuu Long,1880,169,3,114,1591
Long An,214,18,..,4,192
Tien Giang,207,11,..,23,173
Ben Tre,185,12,..,9,164
Tra Vinh,122,12,..,16,94
Vinh Long,124,13,..,2,109
Dong Thap,171,16,1,10,144
An Giang,184,16,..,12,156
Kien Giang,158,13,..,14,131
Can Tho,105,17,..,2,85
Hau Giang,95,10,..,8,76
Soc Trang,123,12,..,2,109
Bac Lieu,75,7,1,2,64
Ca Mau,117,12,1,10,94
