Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12420,847,822,32,10672
Dong bang song Hong,2748,177,119,8,2433
Ha Noi,277,18,23,..,232
Ha Tay,356,16,17,..,322
Vinh Phuc,175,9,13,1,152
Bac Ninh,146,11,7,1,126
Quang Ninh,214,19,8,1,184
Hai Duong,288,17,6,1,263
Hai Phuong,261,22,20,1,218
Hung Yen,177,16,..,..,161
Thai Binh,299,12,..,1,285
Ha Nam,136,10,9,..,116
Nam Dinh,251,17,4,1,229
Ninh Binh,168,10,12,1,145
Trung du va mien nui phia Bac,2911,171,264,7,2463
Ha Giang,208,12,21,..,175
Cao Bang,227,16,22,..,189
Bac Kan,139,6,11,..,122
Tuyen Quang,169,11,13,1,144
Lao Cai,213,12,36,1,164
Yen Bai,216,11,26,..,178
Thai Nguyen,207,15,13,1,175
Lang Son,264,13,24,1,226
Bac Giang,268,15,23,1,229
Phu Tho,292,16,2,1,273
Dien Bien,118,9,20,..,88
Lai Chau,108,7,11,..,90
Son La,237,15,19,1,201
Hoa Binh,245,13,23,..,209
Bac Trung Bo va Duyen hai mien Trung,3231,203,198,10,2812
Thanh Hoa,684,33,26,1,623
Nghe An,537,24,43,1,469
Ha Tinh,300,15,23,1,261
Quang Binh,172,9,6,..,157
Quang Tri,157,10,8,1,138
Thua Thien Hue,182,12,15,1,153
Da Nang,69,12,..,1,56
Quang Nam,256,22,13,..,221
Quang Ngai,203,14,10,..,178
Binh Dinh,182,16,8,1,157
Phu Yen,119,11,14,1,92
Khanh Hoa,164,10,17,1,135
Ninh Thuan,74,4,5,1,62
Binh Thuan,132,11,10,..,110
Tay Nguyen,767,62,45,3,651
Kon Tum,115,8,9,1,96
Gia Lai,212,17,16,1,178
Dak Lak,195,17,1,..,175
Dak Nong,64,7,..,..,57
Lam Dong,181,13,19,1,145
Dong Nam Bo,999,87,61,2,837
Binh Phuoc,106,7,4,..,94
Tay Ninh,108,12,4,..,92
Binh Duong,104,8,5,1,89
Dong Nai,203,15,13,..,171
Ba Ria - Vung Tau,89,9,6,..,74
Ho Chi Minh,389,36,29,1,317
Dong bang song Cuu Long,1764,147,135,2,1476
Long An,201,16,6,..,179
Tien Giang,199,12,17,..,169
Ben Tre,178,10,8,..,160
Tra Vinh,103,9,14,..,80
Vinh Long,116,9,6,..,101
Dong Thap,172,12,13,1,146
An Giang,180,14,11,..,154
Kien Giang,152,13,16,..,123
Can Tho,84,15,8,..,61
Hau Giang,70,8,8,..,54
Soc Trang,128,11,12,..,105
Bac Lieu,71,7,2,..,61
Ca Mau,110,11,14,1,83
