Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
CA NUOC,12372,822,855,34,10613
Dong bang song Hong,2756,173,128,9,2435
Ha Noi,280,18,25,..,232
Ha Tay,360,16,19,..,324
Vinh Phuc,175,9,13,1,152
Bac Ninh,146,11,7,1,126
Quang Ninh,212,18,8,1,184
Hai Duong,288,17,6,1,263
Hai Phuong,266,22,25,1,218
Hung Yen,175,13,..,1,161
Thai Binh,300,13,..,1,285
Ha Nam,136,10,9,..,116
Nam Dinh,250,16,4,1,229
Ninh Binh,168,10,12,1,145
Trung du va mien nui phia Bac,2923,171,268,7,2470
Ha Giang,207,11,21,..,175
Cao Bang,225,16,20,..,189
Bac Kan,140,6,12,..,122
Tuyen Quang,171,11,14,1,145
Lao Cai,213,12,35,1,165
Yen Bai,216,11,26,..,178
Thai Nguyen,207,15,13,1,175
Lang Son,264,13,24,1,226
Bac Giang,268,15,22,1,229
Phu Tho,299,18,7,1,273
Dien Bien,115,8,18,..,88
Lai Chau,109,8,11,..,90
Son La,234,14,17,1,201
Hoa Binh,255,13,28,..,214
Bac Trung Bo va Duyen hai mien Trung,3219,194,216,10,2790
Thanh Hoa,686,32,29,1,623
Nghe An,537,24,43,1,469
Ha Tinh,299,14,23,1,261
Quang Binh,172,8,7,..,157
Quang Tri,159,9,10,1,138
Thua Thien Hue,183,12,16,1,153
Da Nang,59,11,..,1,47
Quang Nam,259,20,18,..,221
Quang Ngai,205,14,12,..,178
Binh Dinh,180,16,8,1,155
Phu Yen,117,10,17,1,87
Khanh Hoa,163,10,16,1,135
Ninh Thuan,72,4,4,1,62
Binh Thuan,128,10,13,..,104
Tay Nguyen,737,58,41,3,629
Kon Tum,114,8,9,1,95
Gia Lai,204,16,15,1,172
Dak Lak,182,15,..,..,165
Dak Nong,59,7,..,..,52
Lam Dong,178,12,17,1,145
Dong Nam Bo,995,87,62,3,835
Binh Phuoc,104,7,5,..,91
Tay Ninh,109,12,4,1,92
Binh Duong,105,9,5,1,89
Dong Nai,201,16,13,..,172
Ba Ria - Vung Tau,87,7,6,..,74
Ho Chi Minh,389,36,29,1,317
Dong bang song Cuu Long,1742,139,140,2,1454
Long An,201,16,6,..,179
Tien Giang,199,12,17,..,169
Ben Tre,179,11,8,..,160
Tra Vinh,103,9,14,..,80
Vinh Long,116,9,6,..,101
Dong Thap,166,13,9,1,143
An Giang,170,14,12,..,143
Kien Giang,152,13,16,..,123
Can Tho,84,9,13,..,61
Hau Giang,71,7,9,..,54
Soc Trang,128,9,14,..,104
Bac Lieu,71,7,2,..,61
Ca Mau,102,10,14,1,76
